CONDITION,DIAGNOSTIC BASKET,DIAGNOSTIC BASKET,DIAGNOSTIC BASKET,ONGOING MANAGEMENT BASKET,ONGOING MANAGEMENT BASKET,ONGOING MANAGEMENT BASKET,ONGOING MANAGEMENT BASKET
,PROCEDURE OR TEST DESCRIPTION,PROCEDURE OR TEST CODE,NUMBER OF PROCEDURES OR TESTS WE COVER,PROCEDURE OR TEST DESCRIPTION,PROCEDURE OR TEST CODE,NUMBER OF PROCEDURES OR TESTS WE COVER,NUMBER OF SPECIALISTS WE COVER EACH YEAR
Asthma,Flow volume test,1188 or 1186,1,Flow volume test,1188 or 1186,,
Asthma,Peak flow,1192,1,Peak flow,1192,,
Cardiac Failure,U & E only,4171,1,U & E only,4171,4,
Cardiac Failure,ECG – Electrocardiogram,(1228+1230),1,ECG – Electrocardiogram,(1228+1230),3,
Cardiac Failure,Echocardiography,3620 & 3621,1,Echocardiography,3620,2,
Cardiac Failure,B-Type natriuretic peptide,4488,1,B-Type natriuretic peptide,4488,1,
Cardiac Failure,Creatinine,4032,1,Creatinine,4032,4,
Cardiac Failure,C-reactive protein,3947,1,Drug level in biological fluid,4081,3,
Cardiac Failure,Full blood count,3755,1,,,,
Cardiac Failure,Troponin isoforms,4161,1,Threshold testing: own equipment,1268,1,
Cardiac Failure,Total cholesterol,4027,1,,,,
Cardiac Failure,Urine analysis (dipstick),4188,1,Urine analysis (dipstick),4188,4,
Cardiac Failure,Glucose – random/fasting,4050,1,Programming of the Atrioventricular sequential pacemaker,1270,1,
Cardiac Failure,"X-ray of the chest two views, PA and lateral",30110,1,"X-ray of the chest two views, PA and lateral",30110,1,
Cardiac Failure,Thyrotropin (TSH),4507,1,,,,
Cardiomyopathy,ECG – Electrocardiogram,1232,1,ECG – Electrocardiogram,1232,3,2
Cardiomyopathy,Echocardiography,3621,1,Echocardiography,3621,2,
Cardiomyopathy,B-Type natriuretic peptide,4488,1,B-Type natriuretic peptide,4488,1,
Cardiomyopathy,Creatinine,4032,1,Creatinine,4032,4,
Cardiomyopathy,U & E only,4171,1,U & E only,4171,4,
Cardiomyopathy,Urine analysis (dipstick),4188,1,Urine analysis (dipstick),4188,4,
Cardiomyopathy,Glucose – random/fasting,4057,1,Prothrombin index (PI),3805,24,
Cardiomyopathy,C-reactive protein,3947,1,Therapeutic drug level: Dosage,3806,24,
Cardiomyopathy,Full blood count,3755,1,Drug level in biological fluid,4081,3,
Cardiomyopathy,Thyrotropin (TSH),4507,1,Threshold testing: own equipment,1268,1,
Cardiomyopathy,"X-ray of the chest two views, PA and lateral",30110,1,"X-ray of the chest two views, PA and lateral",30110,1,
Cardiomyopathy,Total cholesterol,4027,1,Programming of the Atrioventricular sequential pacemaker,1270,1,
Chronic Obstructive Pulmonary Disease,"X-ray of the chest two views, PA and lateral",30110,1,Peak flow,1192,2,1
Chronic Obstructive Pulmonary Disease,Flow volume test,1188,1,Flow volume test,1186,1,
Chronic Obstructive Pulmonary Disease,Alpha-1-antitrypsin,4005,1,Drug level in biological fluid,4081,2,
Chronic Renal Disease,ECG – Electrocardiogram,1232,1,ECG – Electrocardiogram,1232,2,2
Chronic Renal Disease,Full blood count,3755,1,Full blood count,3755,4,
Chronic Renal Disease,U & E only,4171,1,U & E only,4171,4,
Chronic Renal Disease,Creatinine,4032,1,Creatinine,4032,4,
Chronic Renal Disease,Serum calcium,4016,1,Serum calcium,4016,4,
Chronic Renal Disease,Serum parathyroid hormone (PTH),4512,1,Serum parathyroid hormone (PTH),4512,2,
Chronic Renal Disease,Protein: Quantitative,4213,1,Protein: Quantitative,4213,1,
Chronic Renal Disease,,,,Iron,4071,2,
Chronic Renal Disease,,,,Urine analysis (dipstick),4188,4,
Chronic Renal Disease,,,,Platelet count,3797,1,
Chronic Renal Disease,,,,Transferrin,4144,2,
Chronic Renal Disease,,,,Ferritin,4528,2,
Chronic Renal Disease,,,,Dietitian,84200,1,
Diabetes Mellitus Type 1,ECG – Electrocardiogram,1232,1,ECG – Electrocardiogram,1232,1,1 (Ophthal- mologist) 4 (Other Specialist)
Diabetes Mellitus Type 1,Microalbuminuria,4261,1,Microalbuminuria,4261,2,
Diabetes Mellitus Type 1,Urine analysis (dipstick),4188,1,Urine analysis (dipstick),4188,4,
Diabetes Mellitus Type 1,LDL cholesterol,4026,1,LDL cholesterol,4026,1,
Diabetes Mellitus Type 1,HDL cholesterol,4028,1,HDL cholesterol,4028,1,
Diabetes Mellitus Type 1,Total cholesterol,4027,1,Total cholesterol,4027,1,
Diabetes Mellitus Type 1,Triglycerides,4147,1,Triglycerides,4147,1,
Diabetes Mellitus Type 1,U & E only,4171,1,U & E only,4171,1,
Diabetes Mellitus Type 1,Serum creatinine,4032,1,Serum creatinine,4032,1,
Diabetes Mellitus Type 1,Urine creatinine,4221,1,Urine creatinine,4221,1,
Diabetes Mellitus Type 1,Two-hour glucose- OGTT,4049,1,HbA1c,4064,4,
Diabetes Mellitus Type 1,Glucose – random/fasting,4057,1,Tonometry,3014,1,
Diabetes Mellitus Type 1,,,,Dietitian,84200,1,
Diabetes Mellitus Type 1,,,,Fundus examination,3003,1,
Diabetes Mellitus Type 1,,,,Podiatrist,68301,1,
Diabetes Mellitus Type 1,,,,Diabetes Educator,DFSC1,,
Diabetes Mellitus Type 1,ECG – Electrocardiogram,1232,1,ECG – Electrocardiogram,1232,1,1 (Ophthal- mologist)
Diabetes Mellitus Type 1,Microalbuminuria,4261,1,Microalbuminuria,4261,2,
Diabetes Mellitus Type 1,HDL cholesterol,4028,1,HDL cholesterol,4028,1,
Diabetes Mellitus Type 1,Total cholesterol,4027,1,Total cholesterol,4027,1,
Diabetes Mellitus Type 1,LDL cholesterol,4026,1,LDL cholesterol,4026,1,
Diabetes Mellitus Type 1,Triglycerides,4147,1,Triglycerides,4147,1,
Diabetes Mellitus Type 1,Urine analysis (dipstick),4188,1,Urine analysis (dipstick),4188,4,
Diabetes Mellitus Type 1,U & E only,4171,1,U & E only,4171,1,
Diabetes Mellitus Type 1,Urine creatinine,4221,1,Urine creatinine,4221,1,
Diabetes Mellitus Type 1,Glucose – random/fasting,4057,1,HbA1c,4064,4,
Diabetes Mellitus Type 1,Serum creatinine,,1,Serum creatinine,4032,1,
Diabetes Mellitus Type 1,Two-hour glucose- OGTT,4049,1,Tonometry,3014,1,
Diabetes Mellitus Type 1,,,,Fundus examination,3003,1,
